,Unnamed: 0,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
2135,142,143,5.8,2.7,5.1,1.9,Iris-virginica
1248,114,115,5.8,2.8,5.1,2.4,Iris-virginica
1450,21,22,5.1,3.7,1.5,0.4,Iris-setosa
67,78,79,6.0,2.9,4.5,1.5,Iris-versicolor
2259,66,67,5.6,3.0,4.5,1.5,Iris-versicolor
2110,88,89,5.6,3.0,4.1,1.3,Iris-versicolor
2984,104,105,6.5,3.0,5.8,2.2,Iris-virginica
2792,92,93,5.8,2.6,4.0,1.2,Iris-versicolor
2269,125,126,7.2,3.2,6.0,1.8,Iris-virginica
2298,118,119,7.7,2.6,6.9,2.3,Iris-virginica
2620,89,90,5.5,2.5,4.0,1.3,Iris-versicolor
2872,101,102,5.8,2.7,5.1,1.9,Iris-virginica
320,80,81,5.5,2.4,3.8,1.1,Iris-versicolor
52,75,76,6.6,3.0,4.4,1.4,Iris-versicolor
751,50,51,7.0,3.2,4.7,1.4,Iris-versicolor
2628,78,79,6.0,2.9,4.5,1.5,Iris-versicolor
246,115,116,6.4,3.2,5.3,2.3,Iris-virginica
1383,53,54,5.5,2.3,4.0,1.3,Iris-versicolor
2062,139,140,6.9,3.1,5.4,2.1,Iris-virginica
1096,25,26,5.0,3.0,1.6,0.2,Iris-setosa
3136,83,84,6.0,2.7,5.1,1.6,Iris-versicolor
1732,43,44,5.0,3.5,1.6,0.6,Iris-setosa
1115,139,140,6.9,3.1,5.4,2.1,Iris-virginica
1657,73,74,6.1,2.8,4.7,1.2,Iris-versicolor
2507,11,12,4.8,3.4,1.6,0.2,Iris-setosa
2175,122,123,7.7,2.8,6.7,2.0,Iris-virginica
632,34,35,4.9,3.1,1.5,0.1,Iris-setosa
938,80,81,5.5,2.4,3.8,1.1,Iris-versicolor
986,63,64,6.1,2.9,4.7,1.4,Iris-versicolor
2399,48,49,5.3,3.7,1.5,0.2,Iris-setosa
702,69,70,5.6,2.5,3.9,1.1,Iris-versicolor
2981,67,68,5.8,2.7,4.1,1.0,Iris-versicolor
2274,87,88,6.3,2.3,4.4,1.3,Iris-versicolor
1087,15,16,5.7,4.4,1.5,0.4,Iris-setosa
2685,103,104,6.3,2.9,5.6,1.8,Iris-virginica
2990,80,81,5.5,2.4,3.8,1.1,Iris-versicolor
2503,30,31,4.8,3.1,1.6,0.2,Iris-setosa
752,135,136,7.7,3.0,6.1,2.3,Iris-virginica
1027,29,30,4.7,3.2,1.6,0.2,Iris-setosa
665,133,134,6.3,2.8,5.1,1.5,Iris-virginica
194,63,64,6.1,2.9,4.7,1.4,Iris-versicolor
537,32,33,5.2,4.1,1.5,0.1,Iris-setosa
2348,113,114,5.7,2.5,5.0,2.0,Iris-virginica
1227,5,6,5.4,3.9,1.7,0.4,Iris-setosa
1047,19,20,5.1,3.8,1.5,0.3,Iris-setosa
1873,80,81,5.5,2.4,3.8,1.1,Iris-versicolor
2720,20,21,5.4,3.4,1.7,0.2,Iris-setosa
2571,111,112,6.4,2.7,5.3,1.9,Iris-virginica
2103,89,90,5.5,2.5,4.0,1.3,Iris-versicolor
285,37,38,4.9,3.1,1.5,0.1,Iris-setosa
2797,127,128,6.1,3.0,4.9,1.8,Iris-virginica
149,85,86,6.0,3.4,4.5,1.6,Iris-versicolor
2478,71,72,6.1,2.8,4.0,1.3,Iris-versicolor
589,69,70,5.6,2.5,3.9,1.1,Iris-versicolor
860,40,41,5.0,3.5,1.3,0.3,Iris-setosa
3126,135,136,7.7,3.0,6.1,2.3,Iris-virginica
1091,38,39,4.4,3.0,1.3,0.2,Iris-setosa
1246,67,68,5.8,2.7,4.1,1.0,Iris-versicolor
1607,89,90,5.5,2.5,4.0,1.3,Iris-versicolor
1082,26,27,5.0,3.4,1.6,0.4,Iris-setosa
1548,122,123,7.7,2.8,6.7,2.0,Iris-virginica
2509,125,126,7.2,3.2,6.0,1.8,Iris-virginica
1391,40,41,5.0,3.5,1.3,0.3,Iris-setosa
2276,133,134,6.3,2.8,5.1,1.5,Iris-virginica
142,91,92,6.1,3.0,4.6,1.4,Iris-versicolor
2584,139,140,6.9,3.1,5.4,2.1,Iris-virginica
755,130,131,7.4,2.8,6.1,1.9,Iris-virginica
2366,83,84,6.0,2.7,5.1,1.6,Iris-versicolor
993,131,132,7.9,3.8,6.4,2.0,Iris-virginica
534,94,95,5.6,2.7,4.2,1.3,Iris-versicolor
2993,78,79,6.0,2.9,4.5,1.5,Iris-versicolor
2678,123,124,6.3,2.7,4.9,1.8,Iris-virginica
511,53,54,5.5,2.3,4.0,1.3,Iris-versicolor
2741,54,55,6.5,2.8,4.6,1.5,Iris-versicolor
2530,89,90,5.5,2.5,4.0,1.3,Iris-versicolor
610,121,122,5.6,2.8,4.9,2.0,Iris-virginica
1875,139,140,6.9,3.1,5.4,2.1,Iris-virginica
3154,12,13,4.8,3.0,1.4,0.1,Iris-setosa
2983,99,100,5.7,2.8,4.1,1.3,Iris-versicolor
3154,12,13,4.8,3.0,1.4,0.1,Iris-setosa
2455,82,83,5.8,2.7,3.9,1.2,Iris-versicolor
1957,124,125,6.7,3.3,5.7,2.1,Iris-virginica
2245,129,130,7.2,3.0,5.8,1.6,Iris-virginica
3158,25,26,5.0,3.0,1.6,0.2,Iris-setosa
3138,43,44,5.0,3.5,1.6,0.6,Iris-setosa
1920,54,55,6.5,2.8,4.6,1.5,Iris-versicolor
401,94,95,5.6,2.7,4.2,1.3,Iris-versicolor
1608,36,37,5.5,3.5,1.3,0.2,Iris-setosa
2137,41,42,4.5,2.3,1.3,0.3,Iris-setosa
232,15,16,5.7,4.4,1.5,0.4,Iris-setosa
1541,25,26,5.0,3.0,1.6,0.2,Iris-setosa
1184,78,79,6.0,2.9,4.5,1.5,Iris-versicolor
2002,71,72,6.1,2.8,4.0,1.3,Iris-versicolor
2854,65,66,6.7,3.1,4.4,1.4,Iris-versicolor
1513,16,17,5.4,3.9,1.3,0.4,Iris-setosa
2058,144,145,6.7,3.3,5.7,2.5,Iris-virginica
3122,65,66,6.7,3.1,4.4,1.4,Iris-versicolor
723,60,61,5.0,2.0,3.5,1.0,Iris-versicolor
1267,127,128,6.1,3.0,4.9,1.8,Iris-virginica
789,67,68,5.8,2.7,4.1,1.0,Iris-versicolor
975,119,120,6.0,2.2,5.0,1.5,Iris-virginica
566,127,128,6.1,3.0,4.9,1.8,Iris-virginica
1681,98,99,5.1,2.5,3.0,1.1,Iris-versicolor
2163,147,148,6.5,3.0,5.2,2.0,Iris-virginica
807,146,147,6.3,2.5,5.0,1.9,Iris-virginica
696,139,140,6.9,3.1,5.4,2.1,Iris-virginica
1455,74,75,6.4,2.9,4.3,1.3,Iris-versicolor
663,115,116,6.4,3.2,5.3,2.3,Iris-virginica
2334,74,75,6.4,2.9,4.3,1.3,Iris-versicolor
1349,6,7,4.6,3.4,1.4,0.3,Iris-setosa
1130,40,41,5.0,3.5,1.3,0.3,Iris-setosa
1218,140,141,6.7,3.1,5.6,2.4,Iris-virginica
2249,1,2,4.9,3.0,1.4,0.2,Iris-setosa
1817,88,89,5.6,3.0,4.1,1.3,Iris-versicolor
2092,135,136,7.7,3.0,6.1,2.3,Iris-virginica
1649,75,76,6.6,3.0,4.4,1.4,Iris-versicolor
2447,27,28,5.2,3.5,1.5,0.2,Iris-setosa
2429,124,125,6.7,3.3,5.7,2.1,Iris-virginica
1556,4,5,5.0,3.6,1.4,0.2,Iris-setosa
2168,74,75,6.4,2.9,4.3,1.3,Iris-versicolor
520,46,47,5.1,3.8,1.6,0.2,Iris-setosa
2457,49,50,5.0,3.3,1.4,0.2,Iris-setosa
15,36,37,5.5,3.5,1.3,0.2,Iris-setosa
1893,81,82,5.5,2.4,3.7,1.0,Iris-versicolor
2813,36,37,5.5,3.5,1.3,0.2,Iris-setosa
2227,136,137,6.3,3.4,5.6,2.4,Iris-virginica
2038,3,4,4.6,3.1,1.5,0.2,Iris-setosa
1626,69,70,5.6,2.5,3.9,1.1,Iris-versicolor
3094,60,61,5.0,2.0,3.5,1.0,Iris-versicolor
2494,64,65,5.6,2.9,3.6,1.3,Iris-versicolor
1046,90,91,5.5,2.6,4.4,1.2,Iris-versicolor
788,63,64,6.1,2.9,4.7,1.4,Iris-versicolor
1318,34,35,4.9,3.1,1.5,0.1,Iris-setosa
1212,134,135,6.1,2.6,5.6,1.4,Iris-virginica
1415,137,138,6.4,3.1,5.5,1.8,Iris-virginica
470,135,136,7.7,3.0,6.1,2.3,Iris-virginica
1454,123,124,6.3,2.7,4.9,1.8,Iris-virginica
1921,91,92,6.1,3.0,4.6,1.4,Iris-versicolor
1561,7,8,5.0,3.4,1.5,0.2,Iris-setosa
566,127,128,6.1,3.0,4.9,1.8,Iris-virginica
903,126,127,6.2,2.8,4.8,1.8,Iris-virginica
807,146,147,6.3,2.5,5.0,1.9,Iris-virginica
1975,22,23,4.6,3.6,1.0,0.2,Iris-setosa
623,22,23,4.6,3.6,1.0,0.2,Iris-setosa
7,30,31,4.8,3.1,1.6,0.2,Iris-setosa
2201,43,44,5.0,3.5,1.6,0.6,Iris-setosa
53,135,136,7.7,3.0,6.1,2.3,Iris-virginica
1820,140,141,6.7,3.1,5.6,2.4,Iris-virginica
2827,28,29,5.2,3.4,1.4,0.2,Iris-setosa
2138,28,29,5.2,3.4,1.4,0.2,Iris-setosa
3029,28,29,5.2,3.4,1.4,0.2,Iris-setosa
3180,71,72,6.1,2.8,4.0,1.3,Iris-versicolor
2985,10,11,5.4,3.7,1.5,0.2,Iris-setosa
941,110,111,6.5,3.2,5.1,2.0,Iris-virginica
263,19,20,5.1,3.8,1.5,0.3,Iris-setosa
1607,89,90,5.5,2.5,4.0,1.3,Iris-versicolor
2198,83,84,6.0,2.7,5.1,1.6,Iris-versicolor
1186,2,3,4.7,3.2,1.3,0.2,Iris-setosa
1672,108,109,6.7,2.5,5.8,1.8,Iris-virginica
640,21,22,5.1,3.7,1.5,0.4,Iris-setosa
926,123,124,6.3,2.7,4.9,1.8,Iris-virginica
2497,122,123,7.7,2.8,6.7,2.0,Iris-virginica
2652,141,142,6.9,3.1,5.1,2.3,Iris-virginica
1553,54,55,6.5,2.8,4.6,1.5,Iris-versicolor
1048,57,58,4.9,2.4,3.3,1.0,Iris-versicolor
2063,135,136,7.7,3.0,6.1,2.3,Iris-virginica
3042,16,17,5.4,3.9,1.3,0.4,Iris-setosa
674,55,56,5.7,2.8,4.5,1.3,Iris-versicolor
2009,85,86,6.0,3.4,4.5,1.6,Iris-versicolor
1147,102,103,7.1,3.0,5.9,2.1,Iris-virginica
212,117,118,7.7,3.8,6.7,2.2,Iris-virginica
582,87,88,6.3,2.3,4.4,1.3,Iris-versicolor
867,91,92,6.1,3.0,4.6,1.4,Iris-versicolor
1766,142,143,5.8,2.7,5.1,1.9,Iris-virginica
1256,131,132,7.9,3.8,6.4,2.0,Iris-virginica
555,137,138,6.4,3.1,5.5,1.8,Iris-virginica
2713,127,128,6.1,3.0,4.9,1.8,Iris-virginica
1940,75,76,6.6,3.0,4.4,1.4,Iris-versicolor
464,11,12,4.8,3.4,1.6,0.2,Iris-setosa
440,7,8,5.0,3.4,1.5,0.2,Iris-setosa
1036,42,43,4.4,3.2,1.3,0.2,Iris-setosa
1642,28,29,5.2,3.4,1.4,0.2,Iris-setosa
53,135,136,7.7,3.0,6.1,2.3,Iris-virginica
1335,118,119,7.7,2.6,6.9,2.3,Iris-virginica
2353,46,47,5.1,3.8,1.6,0.2,Iris-setosa
231,106,107,4.9,2.5,4.5,1.7,Iris-virginica
425,123,124,6.3,2.7,4.9,1.8,Iris-virginica
653,83,84,6.0,2.7,5.1,1.6,Iris-versicolor
331,75,76,6.6,3.0,4.4,1.4,Iris-versicolor
2992,92,93,5.8,2.6,4.0,1.2,Iris-versicolor
1194,21,22,5.1,3.7,1.5,0.4,Iris-setosa
2313,143,144,6.8,3.2,5.9,2.3,Iris-virginica
676,113,114,5.7,2.5,5.0,2.0,Iris-virginica
2626,117,118,7.7,3.8,6.7,2.2,Iris-virginica
1444,107,108,7.3,2.9,6.3,1.8,Iris-virginica
2587,105,106,7.6,3.0,6.6,2.1,Iris-virginica
2911,15,16,5.7,4.4,1.5,0.4,Iris-setosa
225,4,5,5.0,3.6,1.4,0.2,Iris-setosa
362,31,32,5.4,3.4,1.5,0.4,Iris-setosa
2788,41,42,4.5,2.3,1.3,0.3,Iris-setosa
2631,8,9,4.4,2.9,1.4,0.2,Iris-setosa
2913,26,27,5.0,3.4,1.6,0.4,Iris-setosa
967,83,84,6.0,2.7,5.1,1.6,Iris-versicolor
1875,139,140,6.9,3.1,5.4,2.1,Iris-virginica
2594,25,26,5.0,3.0,1.6,0.2,Iris-setosa
770,58,59,6.6,2.9,4.6,1.3,Iris-versicolor
850,128,129,6.4,2.8,5.6,2.1,Iris-virginica
2743,98,99,5.1,2.5,3.0,1.1,Iris-versicolor
832,8,9,4.4,2.9,1.4,0.2,Iris-setosa
3006,76,77,6.8,2.8,4.8,1.4,Iris-versicolor
2175,122,123,7.7,2.8,6.7,2.0,Iris-virginica
2136,137,138,6.4,3.1,5.5,1.8,Iris-virginica
1519,34,35,4.9,3.1,1.5,0.1,Iris-setosa
1284,96,97,5.7,2.9,4.2,1.3,Iris-versicolor
1931,10,11,5.4,3.7,1.5,0.2,Iris-setosa
1256,131,132,7.9,3.8,6.4,2.0,Iris-virginica
2045,128,129,6.4,2.8,5.6,2.1,Iris-virginica
1749,95,96,5.7,3.0,4.2,1.2,Iris-versicolor
2836,130,131,7.4,2.8,6.1,1.9,Iris-virginica
129,73,74,6.1,2.8,4.7,1.2,Iris-versicolor
36,5,6,5.4,3.9,1.7,0.4,Iris-setosa
1273,96,97,5.7,2.9,4.2,1.3,Iris-versicolor
555,137,138,6.4,3.1,5.5,1.8,Iris-virginica
1609,73,74,6.1,2.8,4.7,1.2,Iris-versicolor
3055,75,76,6.6,3.0,4.4,1.4,Iris-versicolor
2669,115,116,6.4,3.2,5.3,2.3,Iris-virginica
396,75,76,6.6,3.0,4.4,1.4,Iris-versicolor
1513,16,17,5.4,3.9,1.3,0.4,Iris-setosa
2625,73,74,6.1,2.8,4.7,1.2,Iris-versicolor
3067,12,13,4.8,3.0,1.4,0.1,Iris-setosa
1021,120,121,6.9,3.2,5.7,2.3,Iris-virginica
949,45,46,4.8,3.0,1.4,0.3,Iris-setosa
652,60,61,5.0,2.0,3.5,1.0,Iris-versicolor
1957,124,125,6.7,3.3,5.7,2.1,Iris-virginica
1329,5,6,5.4,3.9,1.7,0.4,Iris-setosa
681,117,118,7.7,3.8,6.7,2.2,Iris-virginica
798,91,92,6.1,3.0,4.6,1.4,Iris-versicolor
2707,138,139,6.0,3.0,4.8,1.8,Iris-virginica
39,57,58,4.9,2.4,3.3,1.0,Iris-versicolor
755,130,131,7.4,2.8,6.1,1.9,Iris-virginica
2833,2,3,4.7,3.2,1.3,0.2,Iris-setosa
206,82,83,5.8,2.7,3.9,1.2,Iris-versicolor
2432,36,37,5.5,3.5,1.3,0.2,Iris-setosa
247,133,134,6.3,2.8,5.1,1.5,Iris-virginica
1353,125,126,7.2,3.2,6.0,1.8,Iris-virginica
1383,53,54,5.5,2.3,4.0,1.3,Iris-versicolor
73,11,12,4.8,3.4,1.6,0.2,Iris-setosa
767,13,14,4.3,3.0,1.1,0.1,Iris-setosa
2409,123,124,6.3,2.7,4.9,1.8,Iris-virginica
636,48,49,5.3,3.7,1.5,0.2,Iris-setosa
107,102,103,7.1,3.0,5.9,2.1,Iris-virginica
2233,132,133,6.4,2.8,5.6,2.2,Iris-virginica
387,87,88,6.3,2.3,4.4,1.3,Iris-versicolor
667,53,54,5.5,2.3,4.0,1.3,Iris-versicolor
1431,66,67,5.6,3.0,4.5,1.5,Iris-versicolor
1405,131,132,7.9,3.8,6.4,2.0,Iris-virginica
1300,24,25,4.8,3.4,1.9,0.2,Iris-setosa
417,110,111,6.5,3.2,5.1,2.0,Iris-virginica
137,64,65,5.6,2.9,3.6,1.3,Iris-versicolor
205,53,54,5.5,2.3,4.0,1.3,Iris-versicolor
4,81,82,5.5,2.4,3.7,1.0,Iris-versicolor
739,134,135,6.1,2.6,5.6,1.4,Iris-virginica
2423,115,116,6.4,3.2,5.3,2.3,Iris-virginica
2873,122,123,7.7,2.8,6.7,2.0,Iris-virginica
25,49,50,5.0,3.3,1.4,0.2,Iris-setosa
1161,99,100,5.7,2.8,4.1,1.3,Iris-versicolor
2485,88,89,5.6,3.0,4.1,1.3,Iris-versicolor
2509,125,126,7.2,3.2,6.0,1.8,Iris-virginica
1855,59,60,5.2,2.7,3.9,1.4,Iris-versicolor
1752,143,144,6.8,3.2,5.9,2.3,Iris-virginica
2774,17,18,5.1,3.5,1.4,0.3,Iris-setosa
1210,126,127,6.2,2.8,4.8,1.8,Iris-virginica
2445,85,86,6.0,3.4,4.5,1.6,Iris-versicolor
2359,29,30,4.7,3.2,1.6,0.2,Iris-setosa
1416,52,53,6.9,3.1,4.9,1.5,Iris-versicolor
1816,119,120,6.0,2.2,5.0,1.5,Iris-virginica
2550,66,67,5.6,3.0,4.5,1.5,Iris-versicolor
3079,29,30,4.7,3.2,1.6,0.2,Iris-setosa
1653,27,28,5.2,3.5,1.5,0.2,Iris-setosa
2901,77,78,6.7,3.0,5.0,1.7,Iris-versicolor
2732,57,58,4.9,2.4,3.3,1.0,Iris-versicolor
783,121,122,5.6,2.8,4.9,2.0,Iris-virginica
248,9,10,4.9,3.1,1.5,0.1,Iris-setosa
804,74,75,6.4,2.9,4.3,1.3,Iris-versicolor
966,12,13,4.8,3.0,1.4,0.1,Iris-setosa
1278,36,37,5.5,3.5,1.3,0.2,Iris-setosa
1597,91,92,6.1,3.0,4.6,1.4,Iris-versicolor
2281,44,45,5.1,3.8,1.9,0.4,Iris-setosa
1119,135,136,7.7,3.0,6.1,2.3,Iris-virginica
820,54,55,6.5,2.8,4.6,1.5,Iris-versicolor
947,63,64,6.1,2.9,4.7,1.4,Iris-versicolor
444,146,147,6.3,2.5,5.0,1.9,Iris-virginica
51,14,15,5.8,4.0,1.2,0.2,Iris-setosa
1220,89,90,5.5,2.5,4.0,1.3,Iris-versicolor
1975,22,23,4.6,3.6,1.0,0.2,Iris-setosa
1552,19,20,5.1,3.8,1.5,0.3,Iris-setosa
1415,137,138,6.4,3.1,5.5,1.8,Iris-virginica
2797,127,128,6.1,3.0,4.9,1.8,Iris-virginica
577,41,42,4.5,2.3,1.3,0.3,Iris-setosa
614,129,130,7.2,3.0,5.8,1.6,Iris-virginica
2486,125,126,7.2,3.2,6.0,1.8,Iris-virginica
167,91,92,6.1,3.0,4.6,1.4,Iris-versicolor
467,148,149,6.2,3.4,5.4,2.3,Iris-virginica
2652,141,142,6.9,3.1,5.1,2.3,Iris-virginica
1652,115,116,6.4,3.2,5.3,2.3,Iris-virginica
369,32,33,5.2,4.1,1.5,0.1,Iris-setosa
2059,147,148,6.5,3.0,5.2,2.0,Iris-virginica
1407,42,43,4.4,3.2,1.3,0.2,Iris-setosa
820,54,55,6.5,2.8,4.6,1.5,Iris-versicolor
2406,126,127,6.2,2.8,4.8,1.8,Iris-virginica
1827,62,63,6.0,2.2,4.0,1.0,Iris-versicolor
2768,15,16,5.7,4.4,1.5,0.4,Iris-setosa
1030,59,60,5.2,2.7,3.9,1.4,Iris-versicolor
2601,72,73,6.3,2.5,4.9,1.5,Iris-versicolor
2438,147,148,6.5,3.0,5.2,2.0,Iris-virginica
1899,10,11,5.4,3.7,1.5,0.2,Iris-setosa
487,97,98,6.2,2.9,4.3,1.3,Iris-versicolor
1466,120,121,6.9,3.2,5.7,2.3,Iris-virginica
1971,141,142,6.9,3.1,5.1,2.3,Iris-virginica
266,60,61,5.0,2.0,3.5,1.0,Iris-versicolor
2259,66,67,5.6,3.0,4.5,1.5,Iris-versicolor
1341,104,105,6.5,3.0,5.8,2.2,Iris-virginica
2023,72,73,6.3,2.5,4.9,1.5,Iris-versicolor
1371,91,92,6.1,3.0,4.6,1.4,Iris-versicolor
2523,133,134,6.3,2.8,5.1,1.5,Iris-virginica
2936,88,89,5.6,3.0,4.1,1.3,Iris-versicolor
1,147,148,6.5,3.0,5.2,2.0,Iris-virginica
2670,146,147,6.3,2.5,5.0,1.9,Iris-virginica
1716,11,12,4.8,3.4,1.6,0.2,Iris-setosa
671,73,74,6.1,2.8,4.7,1.2,Iris-versicolor
913,91,92,6.1,3.0,4.6,1.4,Iris-versicolor
366,44,45,5.1,3.8,1.9,0.4,Iris-setosa
1311,9,10,4.9,3.1,1.5,0.1,Iris-setosa
1216,71,72,6.1,2.8,4.0,1.3,Iris-versicolor
1343,140,141,6.7,3.1,5.6,2.4,Iris-virginica
1665,107,108,7.3,2.9,6.3,1.8,Iris-virginica
1866,95,96,5.7,3.0,4.2,1.2,Iris-versicolor
2087,46,47,5.1,3.8,1.6,0.2,Iris-setosa
2815,65,66,6.7,3.1,4.4,1.4,Iris-versicolor
1593,112,113,6.8,3.0,5.5,2.1,Iris-virginica
1842,94,95,5.6,2.7,4.2,1.3,Iris-versicolor
873,137,138,6.4,3.1,5.5,1.8,Iris-virginica
2714,74,75,6.4,2.9,4.3,1.3,Iris-versicolor
785,73,74,6.1,2.8,4.7,1.2,Iris-versicolor
2136,137,138,6.4,3.1,5.5,1.8,Iris-virginica
2951,46,47,5.1,3.8,1.6,0.2,Iris-setosa
1524,76,77,6.8,2.8,4.8,1.4,Iris-versicolor
397,145,146,6.7,3.0,5.2,2.3,Iris-virginica
915,145,146,6.7,3.0,5.2,2.3,Iris-virginica
683,92,93,5.8,2.6,4.0,1.2,Iris-versicolor
1149,135,136,7.7,3.0,6.1,2.3,Iris-virginica
1993,63,64,6.1,2.9,4.7,1.4,Iris-versicolor
709,90,91,5.5,2.6,4.4,1.2,Iris-versicolor
3037,119,120,6.0,2.2,5.0,1.5,Iris-virginica
1211,111,112,6.4,2.7,5.3,1.9,Iris-virginica
1138,70,71,5.9,3.2,4.8,1.8,Iris-versicolor
1864,55,56,5.7,2.8,4.5,1.3,Iris-versicolor
1995,78,79,6.0,2.9,4.5,1.5,Iris-versicolor
23,63,64,6.1,2.9,4.7,1.4,Iris-versicolor
467,148,149,6.2,3.4,5.4,2.3,Iris-virginica
1994,63,64,6.1,2.9,4.7,1.4,Iris-versicolor
520,46,47,5.1,3.8,1.6,0.2,Iris-setosa
344,92,93,5.8,2.6,4.0,1.2,Iris-versicolor
135,71,72,6.1,2.8,4.0,1.3,Iris-versicolor
3127,11,12,4.8,3.4,1.6,0.2,Iris-setosa
1329,5,6,5.4,3.9,1.7,0.4,Iris-setosa
1920,54,55,6.5,2.8,4.6,1.5,Iris-versicolor
1243,68,69,6.2,2.2,4.5,1.5,Iris-versicolor
135,71,72,6.1,2.8,4.0,1.3,Iris-versicolor
2835,17,18,5.1,3.5,1.4,0.3,Iris-setosa
740,7,8,5.0,3.4,1.5,0.2,Iris-setosa
305,33,34,5.5,4.2,1.4,0.2,Iris-setosa
217,23,24,5.1,3.3,1.7,0.5,Iris-setosa
1476,3,4,4.6,3.1,1.5,0.2,Iris-setosa
173,149,150,5.9,3.0,5.1,1.8,Iris-virginica
1387,46,47,5.1,3.8,1.6,0.2,Iris-setosa
426,138,139,6.0,3.0,4.8,1.8,Iris-virginica
120,147,148,6.5,3.0,5.2,2.0,Iris-virginica
805,66,67,5.6,3.0,4.5,1.5,Iris-versicolor
675,142,143,5.8,2.7,5.1,1.9,Iris-virginica
113,31,32,5.4,3.4,1.5,0.4,Iris-setosa
593,12,13,4.8,3.0,1.4,0.1,Iris-setosa
2347,87,88,6.3,2.3,4.4,1.3,Iris-versicolor
2788,41,42,4.5,2.3,1.3,0.3,Iris-setosa
557,102,103,7.1,3.0,5.9,2.1,Iris-virginica
2706,35,36,5.0,3.2,1.2,0.2,Iris-setosa
5,149,150,5.9,3.0,5.1,1.8,Iris-virginica
2074,39,40,5.1,3.4,1.5,0.2,Iris-setosa
3048,115,116,6.4,3.2,5.3,2.3,Iris-virginica
2301,30,31,4.8,3.1,1.6,0.2,Iris-setosa
1809,130,131,7.4,2.8,6.1,1.9,Iris-virginica
1486,56,57,6.3,3.3,4.7,1.6,Iris-versicolor
279,127,128,6.1,3.0,4.9,1.8,Iris-virginica
1602,74,75,6.4,2.9,4.3,1.3,Iris-versicolor
1724,105,106,7.6,3.0,6.6,2.1,Iris-virginica
2648,8,9,4.4,2.9,1.4,0.2,Iris-setosa
2060,36,37,5.5,3.5,1.3,0.2,Iris-setosa
2434,8,9,4.4,2.9,1.4,0.2,Iris-setosa
42,26,27,5.0,3.4,1.6,0.4,Iris-setosa
423,23,24,5.1,3.3,1.7,0.5,Iris-setosa
2901,77,78,6.7,3.0,5.0,1.7,Iris-versicolor
2749,58,59,6.6,2.9,4.6,1.3,Iris-versicolor
1640,74,75,6.4,2.9,4.3,1.3,Iris-versicolor
2880,87,88,6.3,2.3,4.4,1.3,Iris-versicolor
2456,118,119,7.7,2.6,6.9,2.3,Iris-virginica
456,123,124,6.3,2.7,4.9,1.8,Iris-virginica
